Rank,Subtree,Taxa Count,SPR Event Count,% of Total,Split Indices,Signature
1,"Seq62, Seq65",2,119,7.997312,59 60,"59,60"
2,Seq53,1,110,7.392473,53,53
3,Seq112,1,97,6.518817,117,117
4,Seq12,1,92,6.182796,99,99
5,Seq101,1,86,5.779570,0,0
6,Seq76,1,76,5.107527,28,28
7,"Seq86, Seq88, Seq85, Seq87",4,71,4.771505,6 7 8 9,"6,7,8,9"
8,Seq63,1,63,4.233871,54,54
9,"Seq97, Seq99, Seq95, Seq96",4,63,4.233871,10 11 12 13,"10,11,12,13"
10,"Seq94, Seq93, Seq98, Seq89, Seq91, Seq90, Seq92",7,61,4.099462,14 15 16 17 18 19 20,"14,15,16,17,18,19,20"
11,Seq72,1,57,3.830645,37,37
12,"Seq102, Seq103",2,55,3.696237,105 106,"105,106"
13,"Seq54, Seq56, Seq55, Seq51, Seq49, Seq50",6,50,3.360215,61 62 63 64 65 66,"61,62,63,64,65,66"
14,Seq74,1,46,3.091398,21,21
15,Seq5,1,38,2.553763,93,93
16,Seq26,1,36,2.419355,41,41
17,"Seq57, Seq58, Seq59",3,35,2.352151,50 51 52,"50,51,52"
18,Seq31,1,34,2.284946,45,45
19,Seq61,1,31,2.083333,55,55
20,"Seq66, Seq67, Seq70, Seq71, Seq68, Seq72, Seq69",7,29,1.948925,32 33 34 35 36 37 38,"32,33,34,35,36,37,38"
21,"Seq101, Seq106, Seq105, Seq100",4,28,1.881720,0 1 2 3,"0,1,2,3"
22,Seq106,1,28,1.881720,1,1
23,Seq69,1,26,1.747312,38,38
24,"Seq106, Seq105, Seq100",3,22,1.478495,1 2 3,"1,2,3"
25,Seq54,1,21,1.411290,61,61
26,"Seq53, Seq63, Seq61, Seq52, Seq60, Seq64",6,16,1.075269,53 54 55 56 57 58,"53,54,55,56,57,58"
27,"Seq97, Seq99, Seq95, Seq96, Seq94, Seq93, Seq98, Seq89, Seq91, Seq90, Seq92",11,12,0.806452,10 11 12 13 14 15 16 17 18 19 20,"10,11,12,13,14,15,16,17,18,19,20"
28,"Seq57, Seq58, Seq59, Seq53, Seq63, Seq61, Seq52, Seq60, Seq64",9,10,0.672043,50 51 52 53 54 55 56 57 58,"50,51,52,53,54,55,56,57,58"
29,"Seq102, Seq103, Seq104, Seq110, Seq123, Seq108, Seq121, Seq122, Seq107, Seq109, Seq114, Seq115, Seq112, Seq113, Seq118, Seq111, Seq119, Seq116, Seq120, Seq117",20,9,0.604839,105 106 107 108 109 110 111 112 113 114 115 116 117 118 119 120 121 122 123 124,"105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124"
30,"Seq63, Seq61, Seq52",3,7,0.470430,54 55 56,"54,55,56"
31,"Seq104, Seq110, Seq123, Seq108, Seq121, Seq122, Seq107, Seq109, Seq114, Seq115, Seq112, Seq113, Seq118, Seq111, Seq119, Seq116, Seq120, Seq117",18,7,0.470430,107 108 109 110 111 112 113 114 115 116 117 118 119 120 121 122 123 124,"107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124"
32,"Seq20, Seq22, Seq21, Seq23, Seq73, Seq43, Seq45, Seq48, Seq35, Seq36, Seq37, Seq47, Seq42, Seq46, Seq39, Seq38, Seq44, Seq40, Seq41",19,7,0.470430,67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85,"67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85"
33,Seq116,1,6,0.403226,122,122
