rank	rep_index	distance	tree_path
0	183	448.331351	out/runs/run_20260204_131140/24/rep_183/rep_183.treefile
1	110	463.776886	out/runs/run_20260204_131140/24/rep_110/rep_110.treefile
2	167	610.118021	out/runs/run_20260204_131140/24/rep_167/rep_167.treefile
3	120	655.778164	out/runs/run_20260204_131140/24/rep_120/rep_120.treefile
4	9	666.441295	out/runs/run_20260204_131140/24/rep_9/rep_9.treefile
5	53	670.836046	out/runs/run_20260204_131140/24/rep_53/rep_53.treefile
6	139	709.424415	out/runs/run_20260204_131140/24/rep_139/rep_139.treefile
7	33	713.421334	out/runs/run_20260204_131140/24/rep_33/rep_33.treefile
8	23	718.448328	out/runs/run_20260204_131140/24/rep_23/rep_23.treefile
9	45	792.125621	out/runs/run_20260204_131140/24/rep_45/rep_45.treefile
10	148	801.510449	out/runs/run_20260204_131140/24/rep_148/rep_148.treefile
11	38	824.940604	out/runs/run_20260204_131140/24/rep_38/rep_38.treefile
12	104	827.682910	out/runs/run_20260204_131140/24/rep_104/rep_104.treefile
13	63	840.158914	out/runs/run_20260204_131140/24/rep_63/rep_63.treefile
14	122	849.045935	out/runs/run_20260204_131140/24/rep_122/rep_122.treefile
15	16	881.679647	out/runs/run_20260204_131140/24/rep_16/rep_16.treefile
16	187	885.463720	out/runs/run_20260204_131140/24/rep_187/rep_187.treefile
17	15	894.224245	out/runs/run_20260204_131140/24/rep_15/rep_15.treefile
18	189	896.386635	out/runs/run_20260204_131140/24/rep_189/rep_189.treefile
19	196	912.562875	out/runs/run_20260204_131140/24/rep_196/rep_196.treefile
20	17	965.111393	out/runs/run_20260204_131140/24/rep_17/rep_17.treefile
21	13	967.539146	out/runs/run_20260204_131140/24/rep_13/rep_13.treefile
22	112	981.381170	out/runs/run_20260204_131140/24/rep_112/rep_112.treefile
23	26	1007.582255	out/runs/run_20260204_131140/24/rep_26/rep_26.treefile
24	28	1044.830608	out/runs/run_20260204_131140/24/rep_28/rep_28.treefile
25	51	1046.146739	out/runs/run_20260204_131140/24/rep_51/rep_51.treefile
26	72	1059.329033	out/runs/run_20260204_131140/24/rep_72/rep_72.treefile
27	21	1092.115836	out/runs/run_20260204_131140/24/rep_21/rep_21.treefile
28	103	1104.919002	out/runs/run_20260204_131140/24/rep_103/rep_103.treefile
29	194	1118.055008	out/runs/run_20260204_131140/24/rep_194/rep_194.treefile
30	182	1152.778817	out/runs/run_20260204_131140/24/rep_182/rep_182.treefile
31	66	1174.143092	out/runs/run_20260204_131140/24/rep_66/rep_66.treefile
32	132	1176.281004	out/runs/run_20260204_131140/24/rep_132/rep_132.treefile
33	184	1197.173755	out/runs/run_20260204_131140/24/rep_184/rep_184.treefile
34	32	1199.919997	out/runs/run_20260204_131140/24/rep_32/rep_32.treefile
35	170	1207.398857	out/runs/run_20260204_131140/24/rep_170/rep_170.treefile
36	151	1210.726228	out/runs/run_20260204_131140/24/rep_151/rep_151.treefile
37	175	1215.587101	out/runs/run_20260204_131140/24/rep_175/rep_175.treefile
38	98	1226.946209	out/runs/run_20260204_131140/24/rep_98/rep_98.treefile
39	106	1236.523352	out/runs/run_20260204_131140/24/rep_106/rep_106.treefile
40	50	1251.823869	out/runs/run_20260204_131140/24/rep_50/rep_50.treefile
41	197	1281.969578	out/runs/run_20260204_131140/24/rep_197/rep_197.treefile
42	56	1283.724269	out/runs/run_20260204_131140/24/rep_56/rep_56.treefile
43	133	1297.138003	out/runs/run_20260204_131140/24/rep_133/rep_133.treefile
44	2	1302.998081	out/runs/run_20260204_131140/24/rep_2/rep_2.treefile
45	138	1322.160353	out/runs/run_20260204_131140/24/rep_138/rep_138.treefile
46	125	1325.484440	out/runs/run_20260204_131140/24/rep_125/rep_125.treefile
47	97	1326.557198	out/runs/run_20260204_131140/24/rep_97/rep_97.treefile
48	123	1363.667115	out/runs/run_20260204_131140/24/rep_123/rep_123.treefile
49	79	1388.589932	out/runs/run_20260204_131140/24/rep_79/rep_79.treefile
50	3	1402.272085	out/runs/run_20260204_131140/24/rep_3/rep_3.treefile
51	171	1403.331750	out/runs/run_20260204_131140/24/rep_171/rep_171.treefile
52	96	1404.986121	out/runs/run_20260204_131140/24/rep_96/rep_96.treefile
53	130	1420.336228	out/runs/run_20260204_131140/24/rep_130/rep_130.treefile
54	25	1427.965686	out/runs/run_20260204_131140/24/rep_25/rep_25.treefile
55	7	1428.240176	out/runs/run_20260204_131140/24/rep_7/rep_7.treefile
56	195	1476.576446	out/runs/run_20260204_131140/24/rep_195/rep_195.treefile
57	116	1507.191096	out/runs/run_20260204_131140/24/rep_116/rep_116.treefile
58	145	1509.488324	out/runs/run_20260204_131140/24/rep_145/rep_145.treefile
59	186	1513.127886	out/runs/run_20260204_131140/24/rep_186/rep_186.treefile
60	185	1515.159398	out/runs/run_20260204_131140/24/rep_185/rep_185.treefile
61	22	1522.539655	out/runs/run_20260204_131140/24/rep_22/rep_22.treefile
62	80	1525.573663	out/runs/run_20260204_131140/24/rep_80/rep_80.treefile
