display_order	ranked_newick_line	bootstrap_replicate_id	bootstrap_replicate_index_zero_based	source_replicate_alignment_file	composition_distance_to_source_alignment	sort_key	sort_direction
1	1	BS50	50	bootstrap.BS50	2544.866205	composition_distance_to_source_alignment	ascending
2	2	BS67	67	bootstrap.BS67	3411.217378	composition_distance_to_source_alignment	ascending
3	3	BS13	13	bootstrap.BS13	3867.752836	composition_distance_to_source_alignment	ascending
4	4	BS52	52	bootstrap.BS52	3961.329070	composition_distance_to_source_alignment	ascending
5	5	BS7	7	bootstrap.BS7	4789.724000	composition_distance_to_source_alignment	ascending
6	6	BS37	37	bootstrap.BS37	5299.361282	composition_distance_to_source_alignment	ascending
7	7	BS23	23	bootstrap.BS23	6314.500930	composition_distance_to_source_alignment	ascending
8	8	BS161	161	bootstrap.BS161	6654.871599	composition_distance_to_source_alignment	ascending
9	9	BS80	80	bootstrap.BS80	7003.156288	composition_distance_to_source_alignment	ascending
10	10	BS19	19	bootstrap.BS19	7083.539228	composition_distance_to_source_alignment	ascending
11	11	BS156	156	bootstrap.BS156	7612.836134	composition_distance_to_source_alignment	ascending
12	12	BS10	10	bootstrap.BS10	7678.944980	composition_distance_to_source_alignment	ascending
13	13	BS192	192	bootstrap.BS192	7691.355537	composition_distance_to_source_alignment	ascending
14	14	BS174	174	bootstrap.BS174	7728.682682	composition_distance_to_source_alignment	ascending
15	15	BS59	59	bootstrap.BS59	7819.288842	composition_distance_to_source_alignment	ascending
16	16	BS194	194	bootstrap.BS194	7860.300376	composition_distance_to_source_alignment	ascending
17	17	BS135	135	bootstrap.BS135	7874.150748	composition_distance_to_source_alignment	ascending
18	18	BS178	178	bootstrap.BS178	7875.053651	composition_distance_to_source_alignment	ascending
19	19	BS87	87	bootstrap.BS87	8007.715904	composition_distance_to_source_alignment	ascending
20	20	BS89	89	bootstrap.BS89	8091.578462	composition_distance_to_source_alignment	ascending
21	21	BS79	79	bootstrap.BS79	8107.151411	composition_distance_to_source_alignment	ascending
22	22	BS154	154	bootstrap.BS154	8195.894216	composition_distance_to_source_alignment	ascending
23	23	BS173	173	bootstrap.BS173	8363.336176	composition_distance_to_source_alignment	ascending
