Rank,Moved Subtree,Taxa Count,SPR Move Count,% of SPR Moves,Tree Pair Count,Total Path Hops,Avg Path Hops,Total Path Length,Avg Path Length,Higher Than % of Recurrent Moved Subtrees,Split Indices,Signature
1,Ostrich,1,79,19.602978,79,196,2.481013,2.849850,0.036074,96.296296,20,20
2,"EasternMoa, lbmoa, Dinornis, Gtinamou, Crypturellus, ECtinamou",6,54,13.399504,54,140,2.592593,1.581320,0.029284,92.592593,2 3 4 5 6 7,"2,3,4,5,6,7"
3,"Gtinamou, Crypturellus, ECtinamou",3,34,8.436725,34,113,3.323529,2.863400,0.084218,88.888889,5 6 7,"5,6,7"
4,"EasternMoa, lbmoa, Dinornis",3,25,6.203474,25,49,1.960000,1.157200,0.046288,85.185185,2 3 4,"2,3,4"
5,"Cassowary, Emu",2,22,5.459057,22,53,2.409091,0.581940,0.026452,81.481481,0 1,"0,1"
6,"BrushTurkey, Chicken, magpiegoose, duck",4,22,5.459057,22,102,4.636364,2.618610,0.119028,77.777778,8 9 10 11,"8,9,10,11"
7,"BrushTurkey, Chicken, magpiegoose, duck, oystercatcher, turnstone, LBPenguin, GaviaStellata",8,21,5.210918,21,66,3.142857,1.575580,0.075028,74.074074,8 9 10 11 12 13 14 15,"8,9,10,11,12,13,14,15"
8,"GreatRhea, LesserRhea",2,21,5.210918,21,55,2.619048,0.879060,0.041860,70.370370,18 19,"18,19"
9,"oystercatcher, turnstone, LBPenguin, GaviaStellata",4,15,3.722084,15,51,3.400000,1.686700,0.112447,66.666667,12 13 14 15,"12,13,14,15"
10,"Cassowary, Emu, EasternMoa, lbmoa, Dinornis, Gtinamou, Crypturellus, ECtinamou, gskiwi, LSKiwi, BrownKiwi",11,14,3.473945,14,28,2.000000,0.359590,0.025685,62.962963,0 1 2 3 4 5 6 7 21 22 23,"0,1,2,3,4,5,6,7,21,22,23"
11,"gskiwi, LSKiwi, BrownKiwi",3,14,3.473945,14,24,1.714286,0.235130,0.016795,59.259259,21 22 23,"21,22,23"
12,"BrushTurkey, Chicken",2,11,2.729529,11,52,4.727273,0.911320,0.082847,55.555556,8 9,"8,9"
13,"Cassowary, Emu, gskiwi, LSKiwi, BrownKiwi",5,10,2.481390,10,24,2.400000,0.334840,0.033484,51.851852,0 1 21 22 23,"0,1,21,22,23"
14,"magpiegoose, duck",2,10,2.481390,10,19,1.900000,0.684730,0.068473,48.148148,10 11,"10,11"
15,Chicken,1,8,1.985112,8,39,4.875000,1.143780,0.142972,44.444444,9,9
16,LBPenguin,1,8,1.985112,8,20,2.500000,0.416510,0.052064,40.740741,14,14
17,"Cassowary, Emu, GreatRhea, LesserRhea, Ostrich, gskiwi, LSKiwi, BrownKiwi",8,6,1.488834,6,15,2.500000,0.566160,0.094360,37.037037,0 1 18 19 20 21 22 23,"0,1,18,19,20,21,22,23"
18,oystercatcher,1,6,1.488834,6,12,2.000000,0.188880,0.031480,33.333333,12,12
19,GaviaStellata,1,4,0.992556,4,20,5.000000,0.373670,0.093418,29.629630,15,15
20,"Cassowary, Emu, EasternMoa, lbmoa, Dinornis, Gtinamou, Crypturellus, ECtinamou, GreatRhea, LesserRhea, Ostrich, gskiwi, LSKiwi, BrownKiwi",14,3,0.744417,3,8,2.666667,0.331040,0.110347,25.925926,0 1 2 3 4 5 6 7 18 19 20 21 22 23,"0,1,2,3,4,5,6,7,18,19,20,21,22,23"
21,"Gtinamou, Crypturellus",2,3,0.744417,3,6,2.000000,0.307450,0.102483,22.222222,5 6,"5,6"
22,ECtinamou,1,3,0.744417,3,12,4.000000,0.411680,0.137227,18.518519,7,7
23,BrushTurkey,1,3,0.744417,3,9,3.000000,0.166760,0.055587,14.814815,8,8
24,"Cassowary, Emu, Ostrich, gskiwi, LSKiwi, BrownKiwi",6,2,0.496278,2,4,2.000000,0.057360,0.028680,11.111111,0 1 20 21 22 23,"0,1,20,21,22,23"
25,Gtinamou,1,2,0.496278,2,2,1.000000,0.023630,0.011815,7.407407,5,5
26,Crypturellus,1,2,0.496278,2,12,6.000000,0.482510,0.241255,3.703704,6,6
27,"Cassowary, Emu, GreatRhea, LesserRhea",4,1,0.248139,1,2,2.000000,0.016550,0.016550,0.000000,0 1 18 19,"0,1,18,19"
