distance_order	source_ranked_newick_line	source_composition_order	bootstrap_replicate_id	bootstrap_replicate_index_zero_based	source_replicate_alignment_file	composition_distance_to_source_alignment	previous_robinson_foulds	previous_weighted_robinson_foulds	cumulative_robinson_foulds	cumulative_weighted_robinson_foulds	primary_metric	secondary_metric	path_method
1	102	102	BS114	114	bootstrap.BS114	2209.482745	0	0	0	0	robinson_foulds	weighted_robinson_foulds	rf_nearest_neighbor_2opt
2	176	176	BS75	75	bootstrap.BS75	3270.621348	0	0.20523	0	0.20523	robinson_foulds	weighted_robinson_foulds	rf_nearest_neighbor_2opt
3	59	59	BS76	76	bootstrap.BS76	1793.562377	0	0.25122	0	0.45645	robinson_foulds	weighted_robinson_foulds	rf_nearest_neighbor_2opt
4	190	190	BS172	172	bootstrap.BS172	3795.724437	0	0.25581	0	0.71226	robinson_foulds	weighted_robinson_foulds	rf_nearest_neighbor_2opt
5	160	160	BS124	124	bootstrap.BS124	2960.251341	0	0.24088	0	0.95314	robinson_foulds	weighted_robinson_foulds	rf_nearest_neighbor_2opt
6	165	165	BS84	84	bootstrap.BS84	3034.066578	0	0.19875	0	1.15189	robinson_foulds	weighted_robinson_foulds	rf_nearest_neighbor_2opt
7	26	26	BS98	98	bootstrap.BS98	1261.950871	0	0.21271	0	1.3646	robinson_foulds	weighted_robinson_foulds	rf_nearest_neighbor_2opt
8	132	132	BS44	44	bootstrap.BS44	2672.605096	0	0.22309	0	1.58769	robinson_foulds	weighted_robinson_foulds	rf_nearest_neighbor_2opt
9	49	49	BS16	16	bootstrap.BS16	1610.539661	0	0.24933	0	1.83702	robinson_foulds	weighted_robinson_foulds	rf_nearest_neighbor_2opt
10	19	19	BS122	122	bootstrap.BS122	1166.567615	0	0.2295	0	2.06652	robinson_foulds	weighted_robinson_foulds	rf_nearest_neighbor_2opt
11	36	36	BS7	7	bootstrap.BS7	1439.51728	0	0.1679	0	2.23442	robinson_foulds	weighted_robinson_foulds	rf_nearest_neighbor_2opt
12	65	65	BS145	145	bootstrap.BS145	1839.874452	0	0.231	0	2.46542	robinson_foulds	weighted_robinson_foulds	rf_nearest_neighbor_2opt
13	171	171	BS174	174	bootstrap.BS174	3183.868088	0	0.25395	0	2.71937	robinson_foulds	weighted_robinson_foulds	rf_nearest_neighbor_2opt
14	75	75	BS116	116	bootstrap.BS116	1967.016014	0	0.24133	0	2.9607	robinson_foulds	weighted_robinson_foulds	rf_nearest_neighbor_2opt
15	113	113	BS34	34	bootstrap.BS34	2324.302906	0	0.21994	0	3.18064	robinson_foulds	weighted_robinson_foulds	rf_nearest_neighbor_2opt
16	183	183	BS87	87	bootstrap.BS87	3525.865284	0	0.26555	0	3.44619	robinson_foulds	weighted_robinson_foulds	rf_nearest_neighbor_2opt
17	77	77	BS95	95	bootstrap.BS95	1974.146904	0	0.26903	0	3.71522	robinson_foulds	weighted_robinson_foulds	rf_nearest_neighbor_2opt
18	167	167	BS154	154	bootstrap.BS154	3061.735129	0	0.2464	0	3.96162	robinson_foulds	weighted_robinson_foulds	rf_nearest_neighbor_2opt
19	92	92	BS41	41	bootstrap.BS41	2105.076246	0	0.23978	0	4.2014	robinson_foulds	weighted_robinson_foulds	rf_nearest_neighbor_2opt
20	164	164	BS57	57	bootstrap.BS57	3029.953465	0	0.2235	0	4.4249	robinson_foulds	weighted_robinson_foulds	rf_nearest_neighbor_2opt
21	60	60	BS135	135	bootstrap.BS135	1794.867683	0	0.20117	0	4.62607	robinson_foulds	weighted_robinson_foulds	rf_nearest_neighbor_2opt
22	72	72	BS73	73	bootstrap.BS73	1910.285319	0	0.18807	0	4.81414	robinson_foulds	weighted_robinson_foulds	rf_nearest_neighbor_2opt
23	91	91	BS141	141	bootstrap.BS141	2095.686522	0	0.18629	0	5.00043	robinson_foulds	weighted_robinson_foulds	rf_nearest_neighbor_2opt
24	12	12	BS196	196	bootstrap.BS196	934.383219	0	0.21296	0	5.21339	robinson_foulds	weighted_robinson_foulds	rf_nearest_neighbor_2opt
25	110	110	BS171	171	bootstrap.BS171	2278.45474	0	0.2504	0	5.46379	robinson_foulds	weighted_robinson_foulds	rf_nearest_neighbor_2opt
26	178	178	BS47	47	bootstrap.BS47	3291.232292	0	0.26954	0	5.73333	robinson_foulds	weighted_robinson_foulds	rf_nearest_neighbor_2opt
27	5	5	BS139	139	bootstrap.BS139	709.014809	0	0.17783	0	5.91116	robinson_foulds	weighted_robinson_foulds	rf_nearest_neighbor_2opt
28	14	14	BS28	28	bootstrap.BS28	1071.813417	0	0.17036	0	6.08152	robinson_foulds	weighted_robinson_foulds	rf_nearest_neighbor_2opt
29	170	170	BS58	58	bootstrap.BS58	3157.572802	0	0.26096	0	6.34248	robinson_foulds	weighted_robinson_foulds	rf_nearest_neighbor_2opt
30	93	93	BS160	160	bootstrap.BS160	2108.351963	0	0.28519	0	6.62767	robinson_foulds	weighted_robinson_foulds	rf_nearest_neighbor_2opt
31	126	126	BS77	77	bootstrap.BS77	2581.652572	0	0.22095	0	6.84862	robinson_foulds	weighted_robinson_foulds	rf_nearest_neighbor_2opt
32	37	37	BS97	97	bootstrap.BS97	1449.411605	0	0.25053	0	7.09915	robinson_foulds	weighted_robinson_foulds	rf_nearest_neighbor_2opt
33	68	68	BS177	177	bootstrap.BS177	1874.599691	0	0.25	0	7.34915	robinson_foulds	weighted_robinson_foulds	rf_nearest_neighbor_2opt
34	78	78	BS146	146	bootstrap.BS146	1988.487365	0	0.2685	0	7.61765	robinson_foulds	weighted_robinson_foulds	rf_nearest_neighbor_2opt
35	112	112	BS108	108	bootstrap.BS108	2299.878692	0	0.2187	0	7.83635	robinson_foulds	weighted_robinson_foulds	rf_nearest_neighbor_2opt
36	11	11	BS45	45	bootstrap.BS45	923.411068	0	0.25187	0	8.08822	robinson_foulds	weighted_robinson_foulds	rf_nearest_neighbor_2opt
37	154	154	BS166	166	bootstrap.BS166	2916.051783	0	0.33517	0	8.42339	robinson_foulds	weighted_robinson_foulds	rf_nearest_neighbor_2opt
