distance_order	source_ranked_newick_line	source_composition_order	bootstrap_replicate_id	bootstrap_replicate_index_zero_based	source_replicate_alignment_file	composition_distance_to_source_alignment	previous_robinson_foulds	previous_weighted_robinson_foulds	cumulative_robinson_foulds	cumulative_weighted_robinson_foulds	primary_metric	secondary_metric	path_method
1	102	102	BS114	114	bootstrap.BS114	2209.482745	0	0	0	0	weighted_robinson_foulds	robinson_foulds	weighted_rf_nearest_neighbor_2opt
2	190	190	BS172	172	bootstrap.BS172	3795.724437	0	0.18222	0	0.18222	weighted_robinson_foulds	robinson_foulds	weighted_rf_nearest_neighbor_2opt
3	160	160	BS124	124	bootstrap.BS124	2960.251341	0	0.24088	0	0.4231	weighted_robinson_foulds	robinson_foulds	weighted_rf_nearest_neighbor_2opt
4	165	165	BS84	84	bootstrap.BS84	3034.066578	0	0.19875	0	0.62185	weighted_robinson_foulds	robinson_foulds	weighted_rf_nearest_neighbor_2opt
5	26	26	BS98	98	bootstrap.BS98	1261.950871	0	0.21271	0	0.83456	weighted_robinson_foulds	robinson_foulds	weighted_rf_nearest_neighbor_2opt
6	169	169	BS71	71	bootstrap.BS71	3093.779889	0.095238095	0.21358	0.095238095	1.04814	weighted_robinson_foulds	robinson_foulds	weighted_rf_nearest_neighbor_2opt
7	153	153	BS137	137	bootstrap.BS137	2878.323123	0.047619048	0.2204	0.142857143	1.26854	weighted_robinson_foulds	robinson_foulds	weighted_rf_nearest_neighbor_2opt
8	197	197	BS134	134	bootstrap.BS134	4497.230036	0.095238095	0.25955	0.238095238	1.52809	weighted_robinson_foulds	robinson_foulds	weighted_rf_nearest_neighbor_2opt
9	98	98	BS181	181	bootstrap.BS181	2141.345838	0	0.2943	0.238095238	1.82239	weighted_robinson_foulds	robinson_foulds	weighted_rf_nearest_neighbor_2opt
10	163	163	BS142	142	bootstrap.BS142	3028.87702	0.047619048	0.25119	0.285714286	2.07358	weighted_robinson_foulds	robinson_foulds	weighted_rf_nearest_neighbor_2opt
11	186	186	BS70	70	bootstrap.BS70	3622.348133	0.142857143	0.33681	0.428571429	2.41039	weighted_robinson_foulds	robinson_foulds	weighted_rf_nearest_neighbor_2opt
12	154	154	BS166	166	bootstrap.BS166	2916.051783	0.047619048	0.31388	0.476190476	2.72427	weighted_robinson_foulds	robinson_foulds	weighted_rf_nearest_neighbor_2opt
13	198	198	BS169	169	bootstrap.BS169	4637.05661	0	0.23599	0.476190476	2.96026	weighted_robinson_foulds	robinson_foulds	weighted_rf_nearest_neighbor_2opt
14	133	133	BS86	86	bootstrap.BS86	2692.680078	0	0.31	0.476190476	3.27026	weighted_robinson_foulds	robinson_foulds	weighted_rf_nearest_neighbor_2opt
15	55	55	BS132	132	bootstrap.BS132	1674.744757	0	0.22592	0.476190476	3.49618	weighted_robinson_foulds	robinson_foulds	weighted_rf_nearest_neighbor_2opt
16	20	20	BS17	17	bootstrap.BS17	1204.059799	0.047619048	0.2828	0.523809524	3.77898	weighted_robinson_foulds	robinson_foulds	weighted_rf_nearest_neighbor_2opt
17	11	11	BS45	45	bootstrap.BS45	923.411068	0.047619048	0.24908	0.571428571	4.02806	weighted_robinson_foulds	robinson_foulds	weighted_rf_nearest_neighbor_2opt
18	137	137	BS10	10	bootstrap.BS10	2709.934317	0	0.22908	0.571428571	4.25714	weighted_robinson_foulds	robinson_foulds	weighted_rf_nearest_neighbor_2opt
19	86	86	BS29	29	bootstrap.BS29	2059.94029	0	0.19941	0.571428571	4.45655	weighted_robinson_foulds	robinson_foulds	weighted_rf_nearest_neighbor_2opt
