split_key	taxa_names	replicate_count	replicate_total	support_percent
Alligator|BrownKiwi|Caiman|Cassowary|Emu|LSKiwi|Ostrich|gskiwi	Alligator,BrownKiwi,Caiman,Cassowary,Emu,LSKiwi,Ostrich,gskiwi	1	200	0.500000
Alligator|BrushTurkey|Caiman|Chicken	Alligator,BrushTurkey,Caiman,Chicken	10	200	5.000000
Alligator|BrushTurkey|Caiman|Chicken|GaviaStellata|GreatRhea|LBPenguin|LesserRhea|duck|magpiegoose|oystercatcher|turnstone	Alligator,BrushTurkey,Caiman,Chicken,GaviaStellata,GreatRhea,LBPenguin,LesserRhea,duck,magpiegoose,oystercatcher,turnstone	29	200	14.500000
Alligator|BrushTurkey|Caiman|Chicken|GaviaStellata|LBPenguin|Ostrich|duck|magpiegoose|oystercatcher|turnstone	Alligator,BrushTurkey,Caiman,Chicken,GaviaStellata,LBPenguin,Ostrich,duck,magpiegoose,oystercatcher,turnstone	76	200	38.000000
Alligator|BrushTurkey|Caiman|Chicken|GaviaStellata|LBPenguin|duck|magpiegoose|oystercatcher|turnstone	Alligator,BrushTurkey,Caiman,Chicken,GaviaStellata,LBPenguin,duck,magpiegoose,oystercatcher,turnstone	178	200	89.000000
Alligator|BrushTurkey|Caiman|Chicken|duck|magpiegoose	Alligator,BrushTurkey,Caiman,Chicken,duck,magpiegoose	20	200	10.000000
Alligator|Caiman	Alligator,Caiman	200	200	100.000000
Alligator|Caiman|Chicken	Alligator,Caiman,Chicken	4	200	2.000000
Alligator|Caiman|Crypturellus	Alligator,Caiman,Crypturellus	1	200	0.500000
Alligator|Caiman|Crypturellus|Dinornis|ECtinamou|EasternMoa|Gtinamou|lbmoa	Alligator,Caiman,Crypturellus,Dinornis,ECtinamou,EasternMoa,Gtinamou,lbmoa	21	200	10.500000
Alligator|Caiman|Crypturellus|ECtinamou|Gtinamou	Alligator,Caiman,Crypturellus,ECtinamou,Gtinamou	21	200	10.500000
Alligator|Caiman|Crypturellus|Gtinamou	Alligator,Caiman,Crypturellus,Gtinamou	3	200	1.500000
Alligator|Caiman|GaviaStellata	Alligator,Caiman,GaviaStellata	2	200	1.000000
Alligator|Caiman|GaviaStellata|LBPenguin	Alligator,Caiman,GaviaStellata,LBPenguin	2	200	1.000000
Alligator|Caiman|GaviaStellata|LBPenguin|oystercatcher|turnstone	Alligator,Caiman,GaviaStellata,LBPenguin,oystercatcher,turnstone	5	200	2.500000
Alligator|Caiman|Ostrich	Alligator,Caiman,Ostrich	1	200	0.500000
BrownKiwi|Cassowary|Crypturellus|Dinornis|ECtinamou|EasternMoa|Emu|Gtinamou|LSKiwi|gskiwi|lbmoa	BrownKiwi,Cassowary,Crypturellus,Dinornis,ECtinamou,EasternMoa,Emu,Gtinamou,LSKiwi,gskiwi,lbmoa	98	200	49.000000
BrownKiwi|Cassowary|Dinornis|EasternMoa|Emu|GreatRhea|LSKiwi|LesserRhea|Ostrich|gskiwi|lbmoa	BrownKiwi,Cassowary,Dinornis,EasternMoa,Emu,GreatRhea,LSKiwi,LesserRhea,Ostrich,gskiwi,lbmoa	1	200	0.500000
BrownKiwi|Cassowary|Dinornis|EasternMoa|Emu|LSKiwi|Ostrich|gskiwi|lbmoa	BrownKiwi,Cassowary,Dinornis,EasternMoa,Emu,LSKiwi,Ostrich,gskiwi,lbmoa	1	200	0.500000
BrownKiwi|Cassowary|Dinornis|EasternMoa|Emu|LSKiwi|gskiwi|lbmoa	BrownKiwi,Cassowary,Dinornis,EasternMoa,Emu,LSKiwi,gskiwi,lbmoa	1	200	0.500000
BrownKiwi|Cassowary|Emu|GreatRhea|LSKiwi|LesserRhea|Ostrich|gskiwi	BrownKiwi,Cassowary,Emu,GreatRhea,LSKiwi,LesserRhea,Ostrich,gskiwi	83	200	41.500000
BrownKiwi|Cassowary|Emu|GreatRhea|LSKiwi|LesserRhea|gskiwi	BrownKiwi,Cassowary,Emu,GreatRhea,LSKiwi,LesserRhea,gskiwi	8	200	4.000000
BrownKiwi|Cassowary|Emu|LSKiwi|Ostrich|gskiwi	BrownKiwi,Cassowary,Emu,LSKiwi,Ostrich,gskiwi	68	200	34.000000
BrownKiwi|Cassowary|Emu|LSKiwi|gskiwi	BrownKiwi,Cassowary,Emu,LSKiwi,gskiwi	174	200	87.000000
