plot_order	reference_group	sequence_count	sequence_ids
1	GII.P16-GII.16 non-recombinant (P16 polymerase donor)	1	MN447470_P16_GII-16
2	GII.P4-GII.4 non-recombinant	5	PV275065_P4_GII-4;KJ196287_P4_GII-4;KJ541743_P4_GII-4;HM748971_P4_GII-4;MK753028_P4_GII-4
3	GII.P2-GII.2 non-recombinant	3	MK753015_P2_GII-2;MH218734_P2_GII-2;LC122855_P2_GII-2
4	GII.P17-GII.17 non-recombinant	5	MT729791_P17_GII-17;LC369214_P17_GII-17;MK282257_P17_GII-17;PV588655_P17_GII-17;PV588657_P17_GII-17
5	GII.P3-GII.3 non-recombinant	5	LC122831_P3_GII-3;KJ194500_P3_GII-3;MW305726_P3_GII-3;MW305727_P3_GII-3;MW305731_P3_GII-3
6	GII.P7-GII.6 non-recombinant	5	LC122922_P7_GII-6;JX846927_P7_GII-6;PV174243_P7_GII-6;MW305511_P7_GII-6;MW305523_P7_GII-6
7	GII.P7-GII.7 non-recombinant	1	KJ196295_P7_GII-7
8	GII.P16-GII.4 same recombinant genotype controls	4	PP661667_P16_GII-4;PX563327_P16_GII-4;PQ215539_P16_GII-4;PP549880_P16_GII-4
9	GII.P31-GII.4 recombinant controls	5	MT726225_P31_GII-4;MW661281_P31_GII-4;PV275055_P31_GII-4;LC744879_P31_GII-4;KJ196296_P31_GII-4
10	GII.P16-GII.2 recombinant controls	5	MW661277_P16_GII-2;OL898507_P16_GII-2;MK614137_P16_GII-2;MG745992_P16_GII-2;LC209479_P16_GII-2
11	GII.P21-GII.3 recombinant controls	5	MH218573_P21_GII-3;MH218577_P21_GII-3;MH218584_P21_GII-3;OR536485_P21_GII-3;OR536471_P21_GII-3
12	GII.P12-GII.3 recombinant controls	3	LC122751_P12_GII-3;LC122743_P12_GII-3;LC726063_P12_GII-3
