window_index	window_name	start_1based	mid_1based	end_1based_inclusive	length
0	1	1	1	500	500
1	501	1	501	1000	1000
2	1001	501	1001	1500	1000
3	1501	1001	1501	2000	1000
4	2001	1501	2001	2500	1000
5	2501	2001	2501	3000	1000
6	3001	2501	3001	3500	1000
7	3501	3001	3501	4000	1000
8	4001	3501	4001	4500	1000
9	4501	4001	4501	5000	1000
10	5001	4501	5001	5500	1000
11	5501	5001	5501	6000	1000
12	6001	5501	6001	6500	1000
13	6501	6001	6501	7000	1000
14	7001	6501	7001	7500	1000
15	7501	7001	7501	8000	1000
16	8001	7501	8001	8058	558
