PV588655	Hu_GII.17[P17]_Pinellas0007_2025_USA|GII.17[P17]|USA|2025
PV588657	Hu_GII.17[P17]_Hillsborough0017_2025_USA|GII.17[P17]|USA|2025
PV746275	HuNoV_RU_SVE_GII.P16_GII.4_2.1_24|GII.4[P16]|Russia|2025
PV746278	HuNoV_RU_SVE_GII.P16_GII.4_1987.1_24|GII.4[P16]|Russia|2025
PV750876	O2_Patient_3_2_GER|GII.17[P17]|Spain|2024
PV750877	O2_Patient_3_GER|GII.17[P17]|Spain|2024
PV750881	O1_Patient_1_GER|GII.17[P17]|Spain|2024
PV750882	O1_Patient_2_GER|GII.17[P17]|Spain|2024
PV750895	O1_Patient_20_GER|GII.17[P17]|Spain|2024
PV765567	6_S6|GII.17[P17]|Italy|2025
PV765573	13_S13|GII.17[P17]|Italy|2025
PV765574	14_S14|GII.17[P17]|Italy|2025
PV765575	15_S15|GII.17[P17]|Italy|2025
PV765585	26_S26|GII.17[P17]|Italy|2025
PV765587	29_S29|GII.17[P17]|Italy|2025
PV784272	Hu_GII.17_114_DE_2022|GII.17[P17]|Germany|2022
PV784337	Hu_GII.17_179_DE_2024|GII.17[P17]|Germany|2024
PV806173	HuNoV_RU_SVE_GII.7_P7_30.1_24|GII.7[P7]|Russia|2024
PV902474	25|GII.17[P17]|Italy|2025
PV920368	Hu_GII.17_WT-NORO-2837_2022_UK|GII.17[P3]|United Kingdom|2022
PV920371	Hu_GII.17_WT-NORO-2670_2023_UK|GII.17[P17]|United Kingdom|2023
PX458194	100050|GI.1[P1]|USA|2004
PX458208	100222|USA|2005
PX458213	100241|GI.1[P1]|USA|2005
PX458229	100544|GI.1[P1]|USA|2006
PX458233	100602|USA|2006
PX563327	SHIDGII.2|GII.4[P16]|China|2023
OQ190312	DDC1|GII.3[P25]|Thailand|2021
OQ552772	Murine norovirus S7|Japan|2021
OQ552774	Murine norovirus S7|Japan|2021
OQ552781	Murine norovirus S7|Japan|2021
OQ940080	SH21-668|GII.4[P16]|China|2021
OR065043	stool|GI.7[P7]|USA|2017
