accession	accession_version	strain	date	region	country	division	location	length	host	host_genus	host_type	is_lab_host	date_released	date_updated	sra_accessions	authors	full_authors	institution	url	coverage	cdsCoverage	missing_data	divergence	nonACGTN	QC_missing_data	QC_mixed_sites	QC_rare_mutations	QC_frame_shifts	QC_stop_codons	frame_shifts	p48_coverage	NTPase_coverage	p22_coverage	VPg_coverage	3CLpro_coverage	RdRp_coverage	VP1_coverage	VP2_coverage	ORF2_type	ORF1_type	VP1_nextclade	VP1_group	VP1_type	VP1_variant	RdRp_nextclade	RdRp_group	RdRp_type	RdRp_variant
PV553834	PV553834.1	NoV-NODE_A71_AFP43-NGR-2020	2020-10-XX	Africa	Nigeria	Edo		7508	"Homo sapiens"	Homo	human		2025-04-27	2025-04-27		"Agbaje et al."	"Agbaje,S.,George,U.,De Coninck,L.,Faleye,T.,Ifeorah,I.,Onoja,B.,Olayinka,O.,Ajileye,T.,Oragwa,A.,Akinleye,T.,Popoola,B.,Komolafe,I.,Adeniji,A.,Matthijnssens,J.,Adewumi,O."	"Redeemers University, Institute of Genomics and Global Health (formerly ACEGID)"	https://www.ncbi.nlm.nih.gov/nuccore/PV553834	0.9928637504955728	3CLpro:1,NTPase:1,ORF1:0.9870588235294118,RdRp:1,VP1:0.988909426987061,VP2:1,VPg:1,p22:1,p48:0.9337349397590361	0	2413	0						ORF1:46-67,p48:46-67,VP1:338-342	0.934	1.0	1.0	1.0	1.0	1.0	0.989	1.0			GII.6	GII	GII.6		GII.P7	GII.P	GII.P7	
PV588655	PV588655.1	Hu/GII.17[P17]/Pinellas0007/2025/USA	2025-01-14	"North America"	USA			7556	"Homo sapiens"	Homo	human		2025-05-05	2025-05-05		"Barclay et al."	Barclay,L.,Vinje,J.,Locksmith,T.,Chhabra,P.	"Centers for Disease Control and Prevention, Division of viral diseases"	https://www.ncbi.nlm.nih.gov/nuccore/PV588655	0.999207083388397	3CLpro:1,NTPase:1,ORF1:0.9935294117647059,RdRp:1,VP1:0.988909426987061,VP2:1,VPg:1,p22:0.9378531073446328,p48:1	0	2007	0						ORF1:852-860,p22:154-162,VP1:394-398	1.0	1.0	0.938	1.0	1.0	1.0	0.989	1.0			GII.17	GII	GII.17		GII.P17	GII.P	GII.P17	
PV588656	PV588656.1	Hu/GII.17[P17]/Douglas0006/2024/USA	2024-12-24	"North America"	USA			7556	"Homo sapiens"	Homo	human		2025-05-05	2025-05-05		"Barclay et al."	Barclay,L.,Vinje,J.,Mallal,D.,Chhabra,P.	"Centers for Disease Control and Prevention, Division of viral diseases"	https://www.ncbi.nlm.nih.gov/nuccore/PV588656	0.999207083388397	3CLpro:1,NTPase:1,ORF1:1,RdRp:1,VP1:0.988909426987061,VP2:0.9182156133828996,VPg:1,p22:1,p48:1	0	1997	0						VP1:394-398,VP2:134-144,VP2:167-172	1.0	1.0	1.0	1.0	1.0	1.0	0.989	0.918			GII.17	GII	GII.17		GII.P17	GII.P	GII.P17	
PV588657	PV588657.1	Hu/GII.17[P17]/Hillsborough0017/2025/USA	2025-02-12	"North America"	USA			7556	"Homo sapiens"	Homo	human		2025-05-05	2025-05-05		"Barclay et al."	Barclay,L.,Vinje,J.,Cheek,J.,Chhabra,P.	"Centers for Disease Control and Prevention, Division of viral diseases"	https://www.ncbi.nlm.nih.gov/nuccore/PV588657	0.999207083388397	3CLpro:1,NTPase:1,ORF1:1,RdRp:1,VP1:0.988909426987061,VP2:0.8996282527881041,VPg:1,p22:1,p48:1	0	1991	0						VP1:394-398,VP2:134-157	1.0	1.0	1.0	1.0	1.0	1.0	0.989	0.9			GII.17	GII	GII.17		GII.P17	GII.P	GII.P17	
PV588658	PV588658.1	Hu/GII.17[P17]/Sierra0001/2025/USA	2025-01-06	"North America"	USA			7556	"Homo sapiens"	Homo	human		2025-05-05	2025-05-05		"Barclay et al."	Barclay,L.,Vinje,J.,Nottke,S.,Chhabra,P.	"Centers for Disease Control and Prevention, Division of viral diseases"	https://www.ncbi.nlm.nih.gov/nuccore/PV588658	0.999207083388397	3CLpro:1,NTPase:1,ORF1:1,RdRp:1,VP1:0.988909426987061,VP2:1,VPg:1,p22:1,p48:1	0	2013	0						VP1:394-398	1.0	1.0	1.0	1.0	1.0	1.0	0.989	1.0			GII.17	GII	GII.17		GII.P17	GII.P	GII.P17	
PV588796	PV588796.1	Hu/GII.17[P17]/NewYork0024/2024/USA	2024-12-26	"North America"	USA			7513	"Homo sapiens"	Homo	human		2025-05-05	2025-05-05		"Barclay et al."	Barclay,L.,Vinje,J.,Ahmetaj,E.,Chhabra,P.	"Centers for Disease Control and Prevention, Division of viral diseases"	https://www.ncbi.nlm.nih.gov/nuccore/PV588796	0.996299722479186	3CLpro:1,NTPase:1,ORF1:1,RdRp:1,VP1:0.988909426987061,VP2:0.8996282527881041,VPg:1,p22:1,p48:1	0	1998	0						VP1:394-398,VP2:134-157	1.0	1.0	1.0	1.0	1.0	1.0	0.989	0.9			GII.17	GII	GII.17		GII.P17	GII.P	GII.P17	
PV588797	PV588797.1	Hu/GII.17[P17]/Lorain0103/2025/USA	2025-03-05	"North America"	USA			7513	"Homo sapiens"	Homo	human		2025-05-05	2025-05-05		"Barclay et al."	Barclay,L.,Vinje,J.,Brandt,E.,Chhabra,P.	"Centers for Disease Control and Prevention, Division of viral diseases"	https://www.ncbi.nlm.nih.gov/nuccore/PV588797	0.996299722479186	3CLpro:1,NTPase:1,ORF1:1,RdRp:1,VP1:0.988909426987061,VP2:1,VPg:1,p22:1,p48:1	0	2016	0						VP1:394-398	1.0	1.0	1.0	1.0	1.0	1.0	0.989	1.0			GII.17	GII	GII.17		GII.P17	GII.P	GII.P17	
PV605297	PV605297.1	22SS649	2022-XX-XX	Asia	China	Guangdong		7269	"Rattus losea"	"Rattus losea"	"Rattus losea"		2025-10-15	2025-10-15	SRR33152927	"Xin et al."	Xin,G.,Wang,D.,Zhang,X.,Cen,Q.,Peng,M.,Liao,Y.,Wang,J.,Le,S.,Cheng,J.,Wu,W.,Hou,X.,Luo,G.,Gou,Q.,Kong,J.,Pan,Z.,Li,D.,Gan,S.,Chen,A.,Zhao,H.,Shi,P.,Ren,Z.,Zhao,W.,Liu,J.,Jia,P.,Sun,C.,Lin,W.,Wu,J.,Kuang,G.,Chen,J.,Li,J.,Holmes,E.C.,Deng,Z.,Shi,M.	"Shenzhen Campus of Sun Yat-Sen University, School of Medicine"	https://www.ncbi.nlm.nih.gov/nuccore/PV605297	0.9380203515263644	3CLpro:1,NTPase:1,ORF1:0.02411764705882353,RdRp:0.9941176470588236,VP1:0.955637707948244,VP2:0.29739776951672864,VPg:1,p22:0.8418079096045198,p48:0.1144578313253012	0	3264	0						ORF1:119-125,ORF1:131-1700,p48:119-125,p48:131-332,p22:130-157,RdRp:509-510,VP1:4-14,VP1:412-418,VP2:136-147,VP2:159-269	0.114	1.0	0.842	1.0	1.0	0.994	0.956	0.297			GV.2	GV	GV.1		GV.P1	GV.P	GV.P1	
PV611445	PV611445.1	BTY1C3F1	2015-06-19	Africa	Malawi			7379	"Homo sapiens"	Homo	human		2025-06-03	2025-06-03		"Matambo et al."	Matambo,E.,Kawonga,F.,Mhango,C.,Chinyama,E.,Msowoya,J.,Majengo,C.,Maseko,S.,Shange,N.,Baloyi,S.,Mogotsi,M.T.,Dennis,F.E.,Donato,C.,Kumwenda,B.,Nyaga,M.,Chaguza,C.,Jere,K.C.	"Malawi-Liverpool-Wellcome Clinical Research Programme, Virology Research Group"	https://www.ncbi.nlm.nih.gov/nuccore/PV611445	0.9738337518171005	3CLpro:1,NTPase:1,ORF1:0.9635294117647059,RdRp:1,VP1:1,VP2:1,VPg:1,p22:1,p48:0.8132530120481928	3	1242	3							0.813	1.0	1.0	1.0	1.0	1.0	1.0	1.0			GII.4	GII	GII.4	Allegany	GII.P31	GII.P	GII.P31	
PV611446	PV611446.1	BTY1IPF1	2016-10-05	Africa	Malawi			7547	"Homo sapiens"	Homo	human		2025-06-03	2025-06-03		"Matambo et al."	Matambo,E.,Kawonga,F.,Mhango,C.,Chinyama,E.,Msowoya,J.,Majengo,C.,Maseko,S.,Shange,N.,Baloyi,S.,Mogotsi,M.T.,Dennis,F.E.,Donato,C.,Kumwenda,B.,Nyaga,M.,Chaguza,C.,Jere,K.C.	"Malawi-Liverpool-Wellcome Clinical Research Programme, Virology Research Group"	https://www.ncbi.nlm.nih.gov/nuccore/PV611446	0.9966961807849875	3CLpro:1,NTPase:1,ORF1:0.9976470588235294,RdRp:1,VP1:1,VP2:1,VPg:1,p22:1,p48:0.9879518072289156	2	1238	0							0.988	1.0	1.0	1.0	1.0	1.0	1.0	1.0			GII.4	GII	GII.4	Sydney_2012*	GII.P31	GII.P	GII.P31	
