accession	accession_version	strain	date	region	country	division	location	length	host	host_genus	host_type	is_lab_host	date_released	date_updated	sra_accessions	authors	full_authors	institution	url	coverage	cdsCoverage	missing_data	divergence	nonACGTN	QC_missing_data	QC_mixed_sites	QC_rare_mutations	QC_frame_shifts	QC_stop_codons	frame_shifts	p48_coverage	NTPase_coverage	p22_coverage	VPg_coverage	3CLpro_coverage	RdRp_coverage	VP1_coverage	VP2_coverage	ORF2_type	ORF1_type	VP1_nextclade	VP1_group	VP1_type	VP1_variant	RdRp_nextclade	RdRp_group	RdRp_type	RdRp_variant
PV588655	PV588655.1	Hu/GII.17[P17]/Pinellas0007/2025/USA	2025-01-14	North America	USA			7556	Homo sapiens	Homo	human		2025-05-05	2025-05-05		Barclay et al.	Barclay,L.,Vinje,J.,Locksmith,T.,Chhabra,P.	Centers for Disease Control and Prevention, Division of viral diseases	https://www.ncbi.nlm.nih.gov/nuccore/PV588655	0.999207083388397	3CLpro:1,NTPase:1,ORF1:0.9935294117647059,RdRp:1,VP1:0.988909426987061,VP2:1,VPg:1,p22:0.9378531073446328,p48:1	0	2007	0						ORF1:852-860,p22:154-162,VP1:394-398	1.0	1.0	0.938	1.0	1.0	1.0	0.989	1.0			GII.17	GII	GII.17		GII.P17	GII.P	GII.P17	
PV746275	PV746275.1	HuNoV/RU/SVE/GII.P16_GII.4/2.1_24	2025-06-05	Europe	Russia			7519	Homo sapiens	Homo	human		2025-06-10	2025-06-10		Bykov et al.	Bykov,R.O.,Itani,T.M.,Chalapa,V.I.,Semenov,A.V.,Pletenchuk,D.I.,Yesaulkova,A.Y.,Kozlovskikh,D.N.,Romanov,S.V.	Federal Scientific Research Institute of Viral Infections (Virome) Federal Service for Surveillance, laboratory of enteral viral infections	https://www.ncbi.nlm.nih.gov/nuccore/PV746275	0.9936566671071759	3CLpro:1,NTPase:1,ORF1:1,RdRp:1,VP1:1,VP2:1,VPg:1,p22:1,p48:1	0	245	0							1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0			GII.4	GII	GII.4	Sydney_2012*	GII.P16	GII.P	GII.P16	
PV746278	PV746278.1	HuNoV/RU/SVE/GII.P16_GII.4/1987.1_24	2025-06-05	Europe	Russia			7518	Homo sapiens	Homo	human		2025-06-10	2025-06-10		Bykov et al.	Bykov,R.O.,Itani,T.M.,Chalapa,V.I.,Semenov,A.V.,Pletenchuk,D.I.,Yesaulkova,A.Y.,Kozlovskikh,D.N.,Romanov,S.V.	Federal Scientific Research Institute of Viral Infections (Virome) Federal Service for Surveillance, laboratory of enteral viral infections	https://www.ncbi.nlm.nih.gov/nuccore/PV746278	0.9935245143385754	3CLpro:1,NTPase:1,ORF1:1,RdRp:1,VP1:1,VP2:1,VPg:1,p22:1,p48:1	0	234	0							1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0			GII.4	GII	GII.4	Sydney_2012*	GII.P16	GII.P	GII.P16	
PV750876	PV750876.1	O2_Patient_3(2)_GER	2024-05-25	Europe	Spain	Getafe	Madrid	7545	Homo sapiens	Homo	human		2025-11-26	2025-11-26		Tohma et al.	Tohma,K.,Jacobsen,S.,Altmann,B.,Kendra,J.A.,Landivar,M.,De La,O. Jr.,Fernandez-Garcia,M.D.,Gomes,K.A.,Chudnovsky,S.,Ford-Siltz,L.A.,Pilewski,K.A.,Gao,Y.,Mazo,I.,Niendorf,S.,Parra,G.I.,Kutter,J.S.	Instituto de Salud Carlos III, Enterovirus And Viral Gastroenteritis	https://www.ncbi.nlm.nih.gov/nuccore/PV750876	0.9985463195453945	3CLpro:1,NTPase:1,ORF1:0.9982352941176471,RdRp:1,VP1:0.988909426987061,VP2:0.8996282527881041,VPg:1,p22:1,p48:0.9909638554216867	0	1994	0						VP1:394-398,VP2:134-157	0.991	1.0	1.0	1.0	1.0	1.0	0.989	0.9			GII.17	GII	GII.17		GII.P17	GII.P	GII.P17	
PV750877	PV750877.1	O2_Patient_3_GER	2024-05-09	Europe	Spain	Getafe	Madrid	7556	Homo sapiens	Homo	human		2025-11-13	2025-11-26		Tohma et al.	Tohma,K.,Jacobsen,S.,Altmann,B.,Kendra,J.A.,Landivar,M.,De La,O. Jr.,Fernandez-Garcia,M.D.,Gomes,K.A.,Chudnovsky,S.,Ford-Siltz,L.A.,Pilewski,K.A.,Gao,Y.,Mazo,I.,Niendorf,S.,Parra,G.I.,Kutter,J.S.	Instituto de Salud Carlos III, Enterovirus And Viral Gastroenteritis	https://www.ncbi.nlm.nih.gov/nuccore/PV750877	1	3CLpro:1,NTPase:1,ORF1:1,RdRp:1,VP1:0.988909426987061,VP2:0.8996282527881041,VPg:1,p22:1,p48:1	0	1995	0						VP1:394-398,VP2:134-157	1.0	1.0	1.0	1.0	1.0	1.0	0.989	0.9			GII.17	GII	GII.17		GII.P17	GII.P	GII.P17	
PV750881	PV750881.1	O1_Patient_1_GER	2024-02-07	Europe	Spain	Getafe	Madrid	7547	Homo sapiens	Homo	human		2025-11-26	2025-11-26		Tohma et al.	Tohma,K.,Jacobsen,S.,Altmann,B.,Kendra,J.A.,Landivar,M.,De La,O. Jr.,Fernandez-Garcia,M.D.,Gomes,K.A.,Chudnovsky,S.,Ford-Siltz,L.A.,Pilewski,K.A.,Gao,Y.,Mazo,I.,Niendorf,S.,Parra,G.I.,Kutter,J.S.	Instituto de Salud Carlos III, Enterovirus And Viral Gastroenteritis	https://www.ncbi.nlm.nih.gov/nuccore/PV750881	0.998942777851196	3CLpro:1,NTPase:1,ORF1:0.9988235294117647,RdRp:1,VP1:0.988909426987061,VP2:0.8996282527881041,VPg:1,p22:1,p48:0.9939759036144579	0	1999	0						VP1:394-398,VP2:134-157	0.994	1.0	1.0	1.0	1.0	1.0	0.989	0.9			GII.17	GII	GII.17		GII.P17	GII.P	GII.P17	
PV750882	PV750882.1	O1_Patient_2_GER	2024-02-08	Europe	Spain	Getafe	Madrid	7555	Homo sapiens	Homo	human		2025-11-26	2025-11-26		Tohma et al.	Tohma,K.,Jacobsen,S.,Altmann,B.,Kendra,J.A.,Landivar,M.,De La,O. Jr.,Fernandez-Garcia,M.D.,Gomes,K.A.,Chudnovsky,S.,Ford-Siltz,L.A.,Pilewski,K.A.,Gao,Y.,Mazo,I.,Niendorf,S.,Parra,G.I.,Kutter,J.S.	Instituto de Salud Carlos III, Enterovirus And Viral Gastroenteritis	https://www.ncbi.nlm.nih.gov/nuccore/PV750882	1	3CLpro:1,NTPase:1,ORF1:1,RdRp:1,VP1:0.988909426987061,VP2:0.8996282527881041,VPg:1,p22:1,p48:1	0	2000	0						VP1:394-398,VP2:134-157	1.0	1.0	1.0	1.0	1.0	1.0	0.989	0.9			GII.17	GII	GII.17		GII.P17	GII.P	GII.P17	
PV750895	PV750895.1	O1_Patient_20_GER	2024-02-18	Europe	Spain	Getafe	Madrid	7545	Homo sapiens	Homo	human		2025-11-13	2025-11-26		Tohma et al.	Tohma,K.,Jacobsen,S.,Altmann,B.,Kendra,J.A.,Landivar,M.,De La,O. Jr.,Fernandez-Garcia,M.D.,Gomes,K.A.,Chudnovsky,S.,Ford-Siltz,L.A.,Pilewski,K.A.,Gao,Y.,Mazo,I.,Niendorf,S.,Parra,G.I.,Kutter,J.S.	Instituto de Salud Carlos III, Enterovirus And Viral Gastroenteritis	https://www.ncbi.nlm.nih.gov/nuccore/PV750895	0.998678472313995	3CLpro:1,NTPase:1,ORF1:0.9988235294117647,RdRp:1,VP1:0.988909426987061,VP2:0.9219330855018587,VPg:1,p22:1,p48:0.9939759036144579	0	1995	0						VP1:394-398,VP2:134-144,VP2:165-172	0.994	1.0	1.0	1.0	1.0	1.0	0.989	0.922			GII.17	GII	GII.17		GII.P17	GII.P	GII.P17	
PV765573	PV765573.1	13_S13	2025-03-XX	Europe	Italy	Varese	Lombardy Region	7547	Homo sapiens	Homo	human		2025-06-15	2025-06-15		Mancini et al.	Mancini,N.	University of insubria, Department of medicine and technological innovation	https://www.ncbi.nlm.nih.gov/nuccore/PV765573	0.999207083388397	3CLpro:1,NTPase:1,ORF1:0.9994117647058823,RdRp:1,VP1:0.988909426987061,VP2:0.9219330855018587,VPg:1,p22:1,p48:0.9969879518072289	0	1995	2						VP1:394-398,VP2:134-144,VP2:165-172	0.997	1.0	1.0	1.0	1.0	1.0	0.989	0.922			GII.17	GII	GII.17		GII.P17	GII.P	GII.P17	
PV765574	PV765574.1	14_S14	2025-03-XX	Europe	Italy	Varese	Lombardy Region	7500	Homo sapiens	Homo	human		2025-06-15	2025-06-15		Mancini et al.	Mancini,N.	University of insubria, Department of medicine and technological innovation	https://www.ncbi.nlm.nih.gov/nuccore/PV765574	0.9944495837187789	3CLpro:1,NTPase:1,ORF1:0.9994117647058823,RdRp:1,VP1:0.988909426987061,VP2:0.9219330855018587,VPg:1,p22:1,p48:0.9969879518072289	0	1978	1						VP1:394-398,VP2:134-144,VP2:165-172	0.997	1.0	1.0	1.0	1.0	1.0	0.989	0.922			GII.17	GII	GII.17		GII.P17	GII.P	GII.P17	
